unifs_originalFP;unifs_ecceFP;var0;var1;formula
27;38;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
27;41;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
25;34;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
25;37;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
25;37;false;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
33;45;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;34;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
25;37;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
25;37;false;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
23;30;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
23;33;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
31;38;true;_;Disj (Var (O), Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
26;35;true;_;Disj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
24;39;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
24;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
24;39;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
22;35;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
22;35;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
22;35;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
25;34;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
25;37;false;true;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
32;47;true;false;Disj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
30;43;true;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
30;43;true;false;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
22;35;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
22;35;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
22;35;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
20;31;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
25;37;true;false;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
23;33;true;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
30;43;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
30;43;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
28;39;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
25;37;true;true;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
25;34;true;false;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
25;37;false;true;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
23;33;true;_;Disj (Var (O), Disj (Neg (Var (O)), Var (O)))
26;32;true;_;Disj (Var (O), Disj (Neg (Var (O)), Neg (Var (O))))
28;39;true;_;Disj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
24;36;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
24;39;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
24;36;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
22;32;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
22;35;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
27;41;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (S (O)))))
25;37;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
25;34;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
30;40;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
28;36;true;true;Disj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
30;43;true;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
34;48;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
34;48;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
32;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
35;46;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O)))))
32;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
30;40;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;43;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;48;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
35;46;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O)))))
22;32;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
22;35;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
20;28;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
25;34;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
23;33;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
28;36;true;true;Disj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
26;32;true;_;Disj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
33;45;true;false;Disj (Var (O), Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
30;43;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
30;43;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
30;43;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
28;39;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
32;44;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
30;40;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;48;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
30;40;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;36;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
33;42;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
38;48;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
38;48;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
36;44;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
36;44;true;_;Disj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
25;37;true;true;Disj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
25;34;true;false;Disj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
28;36;false;false;Disj (Var (O), Conj (Neg (Var (S (O))), Neg (Var (O))))
25;37;true;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
25;37;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
25;34;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
23;33;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
28;36;false;false;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (S (O)))))
26;32;false;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
35;46;false;true;Disj (Var (O), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
34;48;false;true;Disj (Var (O), Conj (Conj (Var (S (O)), Var (S (O))), Var (S (O))))
32;44;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
30;40;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
30;40;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
28;36;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
33;42;true;false;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
38;48;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
38;48;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
36;44;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
19;30;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
19;30;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
17;26;true;true;Disj (Neg (Var (S (O))), Var (O))
17;26;true;false;Disj (Neg (Var (S (O))), Var (O))
17;26;false;false;Disj (Neg (Var (S (O))), Var (O))
22;32;_;false;Disj (Neg (Var (S (O))), Neg (Var (S (O))))
20;28;true;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
20;28;false;true;Disj (Neg (Var (S (O))), Neg (Var (O)))
20;28;false;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
27;38;true;true;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O)))
27;38;true;true;Disj (Neg (Var (S (O))), Conj (Var (O), Var (S (O))))
25;34;true;true;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
25;34;true;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
17;26;true;true;Disj (Neg (Var (O)), Var (S (O)))
17;26;false;true;Disj (Neg (Var (O)), Var (S (O)))
17;26;false;false;Disj (Neg (Var (O)), Var (S (O)))
15;22;true;_;Disj (Neg (Var (O)), Var (O))
15;22;false;_;Disj (Neg (Var (O)), Var (O))
20;28;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
20;28;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
20;28;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
18;24;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
23;30;false;true;Disj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
21;26;true;_;Disj (Neg (Var (O)), Neg (Neg (Var (O))))
21;26;false;_;Disj (Neg (Var (O)), Neg (Neg (Var (O))))
26;32;false;_;Disj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
27;41;false;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
25;37;false;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
25;34;false;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
25;34;false;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
23;33;true;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
23;30;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
27;38;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
27;38;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
25;34;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
25;37;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
28;36;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
37;50;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
25;34;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
25;37;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
23;30;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
23;33;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
31;38;true;_;Disj (Neg (Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
28;36;false;true;Disj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
29;34;false;_;Disj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (O))))
22;32;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
22;32;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
24;36;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
22;32;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
30;40;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
22;32;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
22;32;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
20;28;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
25;34;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
25;34;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
23;30;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
26;32;true;_;Disj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
28;39;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
32;44;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
30;40;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
30;40;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
28;36;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
36;44;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
16;25;_;true;Conj (Var (S (O)), Var (S (O)))
14;21;true;true;Conj (Var (S (O)), Var (O))
17;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
22;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
20;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
23;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
26;29;true;true;Conj (Var (S (O)), Neg (Neg (Neg (Neg (Var (O))))))
28;36;true;true;Conj (Var (S (O)), Neg (Neg (Disj (Var (O), Var (O)))))
32;41;_;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
30;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (O)))))
30;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
28;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
36;41;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O))))))
25;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
30;37;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Neg (Var (S (O))))))
33;39;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Disj (Var (O), Var (O)))))
30;37;false;true;Conj (Var (S (O)), Neg (Disj (Neg (Var (S (O))), Var (O))))
31;35;true;true;Conj (Var (S (O)), Neg (Disj (Neg (Var (O)), Neg (Var (O)))))
27;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
27;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
25;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
30;40;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (S (O))))))
28;36;true;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
28;36;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
37;50;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
30;40;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (S (O))), Var (O))))
30;40;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Var (S (O)))))
28;36;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Var (O))))
26;40;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
24;36;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;36;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
27;38;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
27;38;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
34;48;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;48;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
24;36;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
22;32;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
27;38;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
25;34;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
25;34;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
28;36;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Neg (Var (O)))))
30;43;true;true;Conj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
34;48;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
34;48;false;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
32;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
32;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
30;40;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
38;48;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
27;38;true;true;Conj (Var (S (O)), Disj (Neg (Var (S (O))), Var (O)))
27;38;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
27;38;false;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
25;34;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
25;34;false;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
28;36;false;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Neg (Var (O))))
32;44;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
30;40;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
26;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
24;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
27;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
32;41;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
30;37;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
35;43;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Disj (Var (O), Var (O)))))
34;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
34;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
32;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
36;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
34;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
37;47;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O)))))
42;53;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
34;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
42;53;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
42;53;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
40;49;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
37;47;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O)))))
24;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
30;37;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
28;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
36;41;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O))))))
36;44;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O)))))
34;48;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
32;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
32;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
30;40;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
38;48;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
33;42;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Neg (Var (O)), Var (O))))
34;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
32;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
42;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
42;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
40;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
32;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
30;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
36;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O))))))
38;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
42;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
40;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
40;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
38;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
46;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
40;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O))))
40;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
38;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
27;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
28;33;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
37;47;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
38;45;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O)))))
34;45;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
32;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
32;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
30;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
40;49;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
40;49;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
38;45;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
14;21;true;true;Conj (Var (O), Var (S (O)))
12;17;true;_;Conj (Var (O), Var (O))
17;23;true;false;Conj (Var (O), Neg (Var (S (O))))
20;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
18;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
23;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
26;29;true;true;Conj (Var (O), Neg (Neg (Neg (Neg (Var (S (O)))))))
24;25;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
31;38;true;false;Conj (Var (O), Neg (Neg (Neg (Conj (Var (S (O)), Var (O))))))
28;36;true;true;Conj (Var (O), Neg (Neg (Disj (Var (S (O)), Var (O)))))
28;36;true;false;Conj (Var (O), Neg (Neg (Disj (Var (S (O)), Var (O)))))
28;36;true;true;Conj (Var (O), Neg (Neg (Disj (Var (O), Var (S (O))))))
26;32;true;_;Conj (Var (O), Neg (Neg (Disj (Var (O), Var (O)))))
30;37;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
28;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
36;41;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))))
28;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
26;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
31;35;true;false;Conj (Var (O), Neg (Neg (Conj (Var (O), Neg (Var (S (O)))))))
36;41;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))))
36;41;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))))
34;37;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O))))))
34;37;true;_;Conj (Var (O), Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O)))))
27;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
28;33;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
33;39;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O)))))))
36;41;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))))
37;47;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))))
35;46;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
31;35;true;true;Conj (Var (O), Neg (Disj (Neg (Var (S (O))), Neg (Var (O)))))
28;33;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
31;35;true;true;Conj (Var (O), Neg (Disj (Neg (Var (O)), Neg (Var (S (O))))))
29;31;true;_;Conj (Var (O), Neg (Disj (Neg (Var (O)), Neg (Var (O)))))
27;38;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
25;34;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
